BY/112 11.05. ТР013 045.01 01034	14.02.2022	Открытое акционерное общество "Брестжилпроект"	проектная документация по объекту № 008-1.21 «Капитальный ремонт жилого дома по пр. Машерова, 61 в г. Бресте». Внесение изменений	Бортновская Инна Александровна
BY/112 11.05. ТР013 045.01 01035	14.02.2022	Открытое акционерное общество "Брестжилпроект"	проектная документация по объекту № 011-2.18 «Капитальный ремонт с элементами модернизации жилого дома по ул. Карбышева, 3 в г. Бресте». Внесение изменений	Бортновская Инна Александровна
BY/112 11.05. ТР013 045.01 01036	14.02.2022	Открытое акционерное общество "Спецавтоматика"	проектная документация по объекту № 01-22 «Автоматическое пожаротушение сушильных камер двух линий пропитки, установленных на четвертом этаже производственного корпуса № 4 основной производственной площадки ОАО «МЭТЗ ИМ. В.И. КОЗЛОВА» расположенного по адресу: ул. Уральская, 4, г. Минск»	Бортновская Инна Александровна
BY/112 11.05. ТР013 045.01 01037	15.02.2022	Общество с дополнительной ответственностью "Брестская инженерная группа"	проектная документация по объекту № 11/01-21П «Капитальный ремонт бетонных полов производственного корпуса в осях 12-22/Ж-Н по ул. Советской, 139 в г. Кобрине»	Бортновская Инна Александровна
BY/112 11.05. ТР013 045.01 01038	16.02.2022	Открытое акционерное общество "Институт комплексного проектирования объектов строительства"	проектная документация по объекту № 47.21 «Реконструкция капитального строения с инв. №120/С-4159, расположенного по адресу: г. Белоозёрск, ул. Ленина, 31»	Бортновская Инна Александровна
BY/112 11.05. ТР013 045.01 01039	16.02.2022	Открытое акционерное общество "Институт комплексного проектирования объектов строительства"	проектная документация по объекту № 51.20 (1К) «Реконструкция капитального строения с инв. № 100/С-44911 (Административное здание), расположенного по адресу: г. Брест, ул. Воровского, 13/1. Внесение изменений»	Бортновская Инна Александровна
BY/112 11.05. ТР013 045.01 01040	16.02.2022	Открытое акционерное общество "Институт комплексного проектирования объектов строительства"	проектная документация по объекту № 74.21 «Реконструкция тепловой сети, наружного газопровода и трубопровода подачи газообразного кислорода, расположенных по ул. Заводская, 1А в г. Белоозерск»	Бортновская Инна Александровна
BY/112 11.05. ТР013 045.01 01041	16.02.2022	Общество с ограниченной ответственностью "Проектное СКБ"	проектная документация  по объекту № 13/21 «Реконструкция капитального строения с инв. № 100/С-72524, расположенного по адресу: г. Брест, ул. Скрипникова, 95»	Бортновская Инна Александровна
BY/112 11.05. ТР013 045.01 01042	18.02.2022	Закрытое акционерное общество "Оптималсервис"	проектная документация по объекту № 2.21-33 «Газоснабжение жилого дома № 11/3 по ул. Низкой в д. Збироги Брестского района»	Бортновская Инна Александровна
BY/112 11.05. ТР013 045.01 01043	18.02.2022	Закрытое акционерное общество "Оптималсервис"	проектная документация по объекту № 2.21-34 «Газоснабжение одноквартирных жилых домов по пер. Садовому в д. Яцковичи Брестского района»	Бортновская Инна Александровна
